Affiliation with Department	Record Count	% of 1.857
Georgia Institute Of Technology School Of Electrical And Computer Engineering	1	0.054
Ghent University Department Of Information Technology	1	0.054
Ghent University Faculty Of Engineering And Architecture	1	0.054
Gitam Deemed To Be University School Of Technology	1	0.054
Gla University Institute Of Engineering And Technology	1	0.054
Griffith University Griffith Sciences	6	0.323
Griffith University School Of Engineering And Built Environment	2	0.108
Griffith University School Of Environment And Science	2	0.108
Griffith University School Of Information And Communication Technology	4	0.215
Guangxi University School Of Electrical Engineering	3	0.162
Hacettepe University Faculty Of Engineering	1	0.054
Hamad Bin Khalifa University College Of Science And Engineering	2	0.108
Hanoi University Of Science And Technology School Of Applied Mathematics And Informatics	1	0.054
Hanyang University College Of Engineering	1	0.054
Hanyang University Department Of Mechanical Engineering	1	0.054
Hanyang University Erica Campus	1	0.054
Harbin Engineering University College Of Shipbuilding Engineering	1	0.054
Harbin Institute Of Technology Graduate School At Shenzhen	2	0.108
Harbin Institute Of Technology School Of Architecture	1	0.054
Harbin Institute Of Technology School Of Astronautics	1	0.054
Harbin Institute Of Technology School Of Electrical Engineering And Automation	2	0.108
Harbin Institute Of Technology School Of Electronics And Information Engineering	1	0.054
Harbin Institute Of Technology Shenzhen School Of Computer Science And Technology	2	0.108
Henan University Henan Key Laboratory Of Big Data Analysis And Processing	1	0.054
Henan University School Of Computer And Information Engineering	1	0.054
Heriot Watt University School Of Engineering And Physical Sciences	1	0.054
Hohai University Business School	1	0.054
Hohai University College Of Computer And Information	1	0.054
Hohai University College Of Energy And Electrical Engineering	1	0.054
Hohai University Department Of Communication Engineering	1	0.054
Hohai University Information Department	1	0.054
Huazhong University Of Science And Technology School Of Artificial Intelligence And Automation	2	0.108
Huazhong University Of Science And Technology School Of Electrical And Electronic Engineering	1	0.054
Huazhong University Of Science And Technology School Of Electronic Information And Communications	4	0.215
Huazhong University Of Science And Technology School Of Energy And Power Engineering	1	0.054
Huazhong University Of Science And Technology State Key Laboratory Of Advanced Electromagnetic Engineering And Technology	1	0.054
Hunan University Business School	1	0.054
Hunan University College Of Electrical And Information Engineering	3	0.162
Hunan University College Of Mechanical And Vehicle Engineering	1	0.054
Idaho State University College Of Science And Engineering	9	0.485
Imam Abdulrahman Bin Faisal University College Of Computer Science And Information Technology	2	0.108
Imperial College London Department Of Bioengineering	1	0.054
Imperial College London Department Of Electrical And Electronic Engineering	1	0.054
Imperial College London Faculty Of Engineering	2	0.108
Indian Institute Of Science Division Of Interdisciplinary Sciences	1	0.054
Indian Institute Of Science Supercomputer Education And Research Center	1	0.054
Indian Institute Of Technology Bombay Department Of Electrical Engineering	1	0.054
Indian Institute Of Technology Kanpur Department Of Computer Science And Engineering	2	0.108
Indian Institute Of Technology Kanpur Department Of Electrical Engineering	1	0.054
Indian Institute Of Technology Kharagpur Department Of Computer Science And Engineering	1	0.054
Indian Institute Of Technology Kharagpur Department Of Electrical Engineering	2	0.108
Indian Institute Of Technology Kharagpur Faculty Of Engineering And Architecture	2	0.108
Indian Institute Of Technology Kharagpur School Of Energy Science And Engineering	2	0.108
Indian Institute Of Technology Madras Department Of Computer Science And Engineering	1	0.054
Indian Institute Of Technology Madras Department Of Electrical Engineering	1	0.054
Indian Institute Of Technology Madras Robert Bosch Centre For Data Science And Artificial Intelligence	1	0.054
Indian Institute Of Technology Roorkee Department Of Electrical Engineering	1	0.054
Inonu University Faculty Of Engineering	1	0.054
Institute For Space Earth Environment Research	1	0.054
Institute Of Mechanical Engineering	1	0.054
Instituto Superior Tecnico	3	0.162
Interdisciplinary Professional Unit Of Engineering And Social And Administrative Sciences	1	0.054
Iowa State University College Of Engineering	3	0.162
Iowa State University College Of Engineering Department Of Mechanical Engineering	1	0.054
Iowa State University Department Of Electrical And Computer Engineering	2	0.108
Iran University Of Science And Technology School Of Electrical Engineering	1	0.054
Isfahan University Of Technology Department Of Electrical And Computer Engineering	2	0.108
Islamic Azad University Central Tehran Branch	1	0.054
Islamic Azad University Khomeini Shahr Branch	1	0.054
Islamic Azad University Najafabad Branch	1	0.054
Islamic Azad University Science And Research Branch	1	0.054
Istanbul Technical University Department Of Electrical Engineering	4	0.215
Istanbul Technical University Department Of Electronics And Communication Engineering	1	0.054
Istanbul Technical University Faculty Of Electrical And Electronic Engineering	5	0.269
Istanbul Technical University Informatics Institute	1	0.054
Istanbul University Cerrahpasa Department Of Electrical And Electronics Engineering	1	0.054
Istanbul University Cerrahpasa Faculty Of Engineering	1	0.054
James Cook University College Of Science And Engineering	1	0.054
Jamia Millia Islamia Faculty Of Engineering And Technology	1	0.054
Jiangsu University School Of Energy And Power Engineering	2	0.108
Jilin University School Of Artificial Intelligence	1	0.054
Johns Hopkins Medicine	1	0.054
Johns Hopkins University School Of Medicine	1	0.054
K N Toosi University Of Technology Faculty Of Electrical Engineering	1	0.054
Kanazawa University College Of Science And Engineering	1	0.054
Kanazawa University College Of Science And Engineering School Of Electrical Information And Communication Engineering	1	0.054
Karlstad University Faculty Of Health Science And Technology	1	0.054
Karlstads University Department Of Mathematics And Computer Science	1	0.054
Kasetsart University Department Of Electrical Engineering	1	0.054
Kasetsart University Faculty Of Engineering	1	0.054
Keio University Faculty Of Science And Technology Graduate School Of Science And Technology	1	0.054
Kennesaw State University College Of Computing And Software Engineering	3	0.162
Kennesaw State University Department Of Computer Science	1	0.054
Key Laboratory Of C And Pc Structures Of Ministry Of Education	1	0.054
Key Laboratory On Machine Perception	1	0.054
Khalifa University College Of Engineering	2	0.108
Khalifa University Department Of Electrical Engineering And Computer Science	2	0.108
Kiit University School Of Electronics Engineering	2	0.108
King Abdulaziz University Faculty Of Computing And Information Technology	10	0.539
King Abdulaziz University Faculty Of Economics And Administration	1	0.054
King Abdulaziz University Faculty Of Engineering	1	0.054
King Abdullah University Of Science And Technology Computer Electrical And Mathematical Science And Engineering Division	1	0.054
King Fahd University Of Petroleum And Minerals College Of Computer Sciences And Engineering	1	0.054
King Fahd University Of Petroleum And Minerals College Of Engineering Sciences And Applied Engineering	2	0.108
King Fahd University Of Petroleum Minerals Electrical Engineering Department	2	0.108
King Khalid University College Of Engineering	5	0.269
King Khalid University Mechanical Engineering Department	1	0.054
King Mongkut S Institute Of Technology Ladkrabang Department Of Electronics Engineering	1	0.054
King Mongkut S Institute Of Technology Ladkrabang Faculty Of Engineering	2	0.108
King Mongkut S University Of Technology North Bangkok College Of Industrial Technology	1	0.054
King Mongkut S University Of Technology North Bangkok Department Of Electronics Engineering Technology	1	0.054
King Mongkut S University Of Technology North Bangkok Faculty Of Engineering	1	0.054
King Saud University College Of Applied Medical Sciences	2	0.108
King Saud University College Of Architecture And Planning	2	0.108
King Saud University College Of Computer And Information Sciences	18	0.969
King Saud University College Of Science	2	0.108
King Saud University Department Of Chemistry	1	0.054
King Saud University Department Of Computer Engineering	9	0.485
King Saud University Department Of Information Systems	3	0.162
Kingston University Faculty Of Science Engineering And Computing	1	0.054
Kios Research And Innovation Center Of Excellence	1	0.054
Korea University College Of Engineering	2	0.108
Korea University School Of Electrical Engineering	2	0.108
Kth Royal Institute Of Technology Department Of Intelligent Systems	1	0.054
Kth Royal Institute Of Technology School Of Electrical Engineering And Computer Science	5	0.269
Ku Leuven Department Of Electrical Engineering	1	0.054
Ku Leuven Department Of Mechanical Engineering	2	0.108
Ku Leuven Faculty Of Engineering	3	0.162
Ku Leuven Science Engineering And Technology Group	3	0.162
Kurukshetra University Department Of Computer Science And Engineering	1	0.054
Kurukshetra University University Institute Of Engineering And Technology	1	0.054
Kyungpook National University College Of It Engineering	2	0.108
Kyungpook National University School Of Electronics Engineering	2	0.108
La Trobe University Department Of Computer Science And Information Technology	3	0.162
La Trobe University School Of Computing Engineering And Mathematical Sciences	3	0.162
Lancaster University Faculty Of Science And Technology	3	0.162
Lancaster University School Of Computing And Communications	3	0.162
Lehigh University Department Of Electrical And Computer Engineering	3	0.162
Lehigh University P C Rossin College Of Engineering And Applied Science	3	0.162
Liverpool John Moores University Faculty Of Engineering And Technology	2	0.108
Liverpool John Moores University School Of Computer Science And Mathematics	1	0.054
Liverpool John Moores University School Of Engineering	1	0.054
London South Bank University School Of Engineering	1	0.054
Lorestan University Faculty Of Engineering	1	0.054
Lovely Professional University Division Of Research And Development	3	0.162
Lovely Professional University School Of Chemical Engineering And Physical Sciences	1	0.054
Lulea University Of Technology Department Of Computer Science Electrical And Space Engineering	4	0.215
Lut School Of Engineering Science	1	0.054
M Hamed Bougara University Of Boumerdes Institute Of Electrical And Electronics Engineering	1	0.054
Macquarie University Department Of Computing	4	0.215
Macquarie University Faculty Of Science And Engineering	13	0.700
Macquarie University School Of Engineering	10	0.539
Majmaah University College Of Engineering	1	0.054
Malaviya National Institute Of Technology Department Of Electrical Engineering	1	0.054
Manav Rachna International Institute Of Research And Studies Faculty Of Engineering Technology	1	0.054
Manipal Institute Technology	1	0.054
Mansoura University Faculty Of Computers And Information	1	0.054
Mansoura University Faculty Of Engineering	1	0.054
Mara University Of Technology Microwave Research Institute	1	0.054
Masaryk University Faculty Of Informatics	1	0.054
Masaryk University Institute Of Computer Science	1	0.054
Massachusetts Institute Of Technology Department Of Mechanical Engineering	1	0.054
Massachusetts Institute Of Technology School Of Engineering	1	0.054
Massachusetts Institute Of Technology Sloan School Of Management	2	0.108
Mcgill University Department Of Electrical And Computer Engineering	4	0.215
Mcgill University Faculty Of Education	1	0.054
Mcgill University Faculty Of Engineering	4	0.215
Mcgill University Faculty Of Science	1	0.054
Mcgill University School Of Computer Science	1	0.054
Mcgill University School Of Information Studies	1	0.054
Menoufia University Faculty Of Electronic Engineering	1	0.054
Mid Sweden University Department Of Information Systems And Technology	1	0.054
Mid Sweden University Faculty Of Science Technology And Media	1	0.054
Middle East Technical University Department Of Electrical And Electronics Engineering	1	0.054
Middle East Technical University Faculty Of Engineering	1	0.054
Minia University Faculty Of Engineering	2	0.108
Missouri University Of Science And Technology Department Of Electrical And Computer Engineering	2	0.108
Monash University Faculty Of Information Technology	2	0.108
Mondragon University Faculty Of Business Studies	1	0.054
Multimedia University Cyberjaya Campus Faculty Of Computing And Informatics	1	0.054
Myongji University College Of Engineering	1	0.054
Myongji University Department Of Electronics Engineering	1	0.054
Myongji University Natural Science Campus	1	0.054
Najran University College Of Computer Science And Information Systems	3	0.162
Najran University College Of Science And Arts	1	0.054
Nanchang University School Of Resources Environmental And Chemical Engineering	1	0.054
Nanjing Agricultural University College Of Engineering	1	0.054
Nanjing University Department Of Computer Science And Technology	1	0.054
Nanjing University Of Aeronautics And Astronautics College Of Automation Engineering	1	0.054
Nanjing University Of Aeronautics And Astronautics College Of Computer Science And Technology	4	0.215
Nanjing University Of Finance And Economics College Of Information Engineering	1	0.054
Nanjing University Of Posts And Telecommunications School Of Computer Science	1	0.054
Nanjing University Of Science And Technology School Of Automation	1	0.054
Nanjing University Of Science And Technology School Of Computer Science And Engineering	3	0.162
Nanyang Technological University College Of Engineering	20	1.077
Nanyang Technological University Energy Research Institute	1	0.054
Nanyang Technological University School Of Computer Science And Engineering	8	0.431
Nanyang Technological University School Of Electrical And Electronic Engineering	12	0.646
Nanyang Technological University School Of Mechanical And Aerospace Engineering	2	0.108
National Cheng Kung University College Of Electrical Engineering And Computer Science	1	0.054
National Cheng Kung University Department Of Electrical Engineering	1	0.054
National Cheng Kung University Institute Of Computer And Communication Engineering	1	0.054
National Chung Hsing University College Of Science	2	0.108
National Chung Hsing University Department Of Computer Science And Engineering	2	0.108
National Institute Of Technology Calicut Department Of Electrical Engineering	1	0.054
National Institute Of Technology Raipur Department Of Computer Application	2	0.108
National Institute Of Technology Raipur Department Of Electrical Engineering	3	0.162
National Institute Of Technology Silchar Department Of Electrical Engineering	1	0.054
National Kaohsiung University Of Science And Technology College Of Electrical Engineering And Computer Science	1	0.054
National Kaohsiung University Of Science And Technology Department Of Electrical Engineering	1	0.054
National Key Laboratory Of Science And Technology On Communications	1	0.054
National Polytechnical Institute Zacatenco Unit	1	0.054
National Sun Yat Sen University College Of Engineering	1	0.054
National Sun Yat Sen University Department Of Electrical Engineering	1	0.054
National Taiwan University College Of Electrical Engineering And Computer Science	1	0.054
National Taiwan University Department Of Computer Science Information Engineering	1	0.054
National Technical University Of Athens School Of Electrical And Computer Engineering	2	0.108
National University Of Defense Technology College Of Computers	3	0.162
National University Of Malaysia Department Of Electrical Electronic And Systems Engineering	1	0.054
National University Of Malaysia Faculty Of Engineering And Built Environment	1	0.054
National University Of Singapore College Of Design And Engineering	4	0.215
National University Of Singapore Department Of Computer Science	3	0.162
National University Of Singapore Department Of Electrical And Computer Engineering	3	0.162
National University Of Singapore Department Of Mechanical Engineering	1	0.054
National University Of Singapore School Of Computing	3	0.162
National Yang Ming Chiao Tung University College Of Computer Science	1	0.054
National Yang Ming Chiao Tung University Department Of Computer Science	1	0.054
Nc State University College Of Engineering	2	0.108
Nc State University Department Of Electrical And Computer Engineering	1	0.054
New York University Department Of Electrical And Computer Engineering	1	0.054
New York University Tandon School Of Engineering	1	0.054
Newcastle University Faculty Of Science Agriculture And Engineering	3	0.162
Newcastle University School Of Computing	2	0.108
Newcastle University School Of Engineering	1	0.054
Ningxia University School Of Physics And Electronic Electrical Engineering	1	0.054
Nirma University Institute Of Technology	5	0.269
North China Electric Power University Baoding Campus	2	0.108
North China Electric Power University Department Of Mechanical Engineering	2	0.108
North China Electric Power University School Of Control And Computer Engineering	9	0.485
North China Electric Power University School Of Electrical And Electronic Engineering	7	0.377
North China Electric Power University School Of Energy Power And Mechanical Engineerig	3	0.162
North China Electric Power University State Key Laboratory Of Alternate Electrical Power System With Renewable Energy Sources	2	0.108
Northeastern University At Qinhuangdao	1	0.054
Northeastern University At Qinhuangdao School Of Computer And Communication Engineering	1	0.054
Northeastern University At Qinhuangdao School Of Control Engineering	1	0.054
Northeastern University College Of Computer Science And Engineering	1	0.054
Northeastern University College Of Engineering	1	0.054
Northeastern University College Of Information Science And Engineering	1	0.054
Northeastern University Department Of Electrical Computer Engineering	1	0.054
Northeastern University Software College	2	0.108
Northeastern University State Key Laboratory Of Synthetical Automation For Process Industries	2	0.108
Northumbria University Department Of Mathematics Physics And Electrical Engineering	2	0.108
Northumbria University Faculty Of Engineering And Environment	2	0.108
Northwestern Polytechnical University School Of Artificial Intelligence Optics And Electronics	1	0.054
Northwestern Polytechnical University School Of Mechanical Engineering	1	0.054
Norwegian University Of Science And Technology Faculty Of Engineering	1	0.054
Nust Military College Of Signals	1	0.054
Nust School Of Electrical Engineering Computer Science	3	0.162
Op Jindal Global University Jindal Global Business School	1	0.054
Oregon State University College Of Engineering	1	0.054
Oregon State University School Of Electrical Engineering And Computer Science	1	0.054
Osaka University Graduate School Of Information Science And Technology	1	0.054
Padjadjaran University Faculty Of Mathematics And Natural Sciences	1	0.054
Peking University College Of Engineering	2	0.108
Peking University Department Of Industrial Engineering And Management	2	0.108
Peking University Faculty Of Information And Engineering Science	1	0.054
Peking University Institute Of Space Physics And Applied Techonologies	1	0.054
Peking University School Of Earth And Space Sciences	1	0.054
Peking University School Of Electronics Engineering And Computer Science	1	0.054
Petroleum Institute	1	0.054
Polytechnic College Of The Coast Faculty Of Mechanical And Production Sciences Engineering	1	0.054
Polytechnic Institute Of Porto Research Group On Intelligent Engineering And Computing For Advanced Innovation And Development	2	0.108
Polytechnic Institute Of Porto School Of Engineering	2	0.108
Polytechnic Of Milan Department Of Electronics Information And Bioengineering	3	0.162
Polytechnic Of Milan Department Of Energy	4	0.215
Polytechnic Of Turin Department Of Control And Computer Engineering	3	0.162
Polytechnic Of Turin Department Of Mechanical And Aerospace Engineering	1	0.054
Polytechnic University Of Catalonia Department Of Electronic Engineering	2	0.108
Polytechnic University Of Valencia Department Of Communications	2	0.108
Polytechnic University Of Valencia School Of Telecommunication Engineering	2	0.108
Polytechnique Montréal Department Of Electrical Engineering	1	0.054
Prince Sattam Bin Abdulaziz University College Of Business Administration	1	0.054
Prince Sattam Bin Abdulaziz University College Of Computer Science And Engineering	2	0.108
Prince Sattam Bin Abdulaziz University College Of Engineering	1	0.054
Princess Nora Bint Abdul Rahman University College Of Computer And Information Sciences	7	0.377
Princeton University Department Of Electrical And Computer Engineering	3	0.162
Princeton University School Of Engineering And Applied Science	3	0.162
Purdue University College Of Agriculture	1	0.054
Purdue University College Of Engineering	2	0.108
Purdue University Department Of Agronomy	1	0.054
Purdue University Department Of Computer And Information Technology	1	0.054
Purdue University Polytechnic Institute	1	0.054
Purdue University School Of Electrical And Computer Engineering	1	0.054
Purdue University School Of Nuclear Engineering	1	0.054
Putra Malaysia University Department Of Communication Technology And Network	1	0.054
Putra Malaysia University Faculty Of Computer Science And Information Technology	1	0.054
Qassim University College Of Computer	1	0.054
Qassim University College Of Engineering	1	0.054
Qatar University College Of Engineering	1	0.054
Qualcomm Institute	1	0.054
Queen Mary University Of London Faculty Of Science And Engineering	1	0.054
Queen Mary University Of London School Of Mathematical Sciences	1	0.054
Queen S University Belfast Faculty Of Engineering And Physical Sciences	2	0.108
Queen S University Belfast School Of Electronics Electrical Engineering And Computer Science	2	0.108
Queen S University Belfast School Of Mechanical And Aerospace Engineering	1	0.054
Queensland University Of Technology Faculty Of Engineering	4	0.215
Queensland University Of Technology Faculty Of Science	3	0.162
Queensland University Of Technology School Of Architecture And Built Environment	1	0.054
Queensland University Of Technology School Of Computer Science	2	0.108
Queensland University Of Technology School Of Electrical Engineering And Robotics	2	0.108
Quinnipiac University School Of Computing And Engineering	1	0.054
Radboud University Faculty Of Science	1	0.054
Radboud University Institute For Computing And Information Sciences	1	0.054
Radboud University Institute For Molecules And Materials	1	0.054
Renmin University Of China School Of Statistics	2	0.108
Rensselaer Polytech Institute School Of Engineering	3	0.162
Rensselaer Polytechnic Institute Department Of Electrical Computer And Systems Engineering	3	0.162
Rmit University School Of Computing Technologies	3	0.162
Rmit University School Of Engineering	1	0.054
Rmit University School Of Science	1	0.054
Rmit University Stem College	5	0.269
Robert Gordon University School Of Computing	1	0.054
Royal Holloway University Of London Department Of Computer Science	1	0.054
Royal Holloway University Of London School Of Business And Management	1	0.054
Royal Holloway University Of London School Of Engineering Physical And Mathematical Sciences	1	0.054
Rutgers New Brunswick Department Of Electrical And Computer Engineering	1	0.054
Rutgers New Brunswick Department Of Statistics	1	0.054
Rutgers New Brunswick School Of Arts And Sciences	1	0.054
Rutgers New Brunswick School Of Engineering	1	0.054
