id	organization	documents	citations	total link strength
136	atis solut	1	0	0
137	auburn univ	1	172	4
138	auckland univ technol	4	25	49
139	auckland univ technol aut	1	6	0
140	augusta univ	4	3	103
141	auroras technol & res inst	1	0	7
142	badr univ cairo	1	10	0
143	bahauddin zakariya univ	1	31	84
144	bahrain polytech	1	0	5
145	bahria univ	3	19	7
146	bannari amman inst technol	1	1	0
147	baskent univ	1	1	0
148	basque res & technol alliance brta	3	65	72
149	basrah univ	1	13	0
150	bauman moscow state tech univ	1	19	55
151	bayan univ	1	0	0
152	baylor univ	1	62	0
153	bears	1	3	0
154	begum nusrat bhutto women univ	1	2	6
155	beihang univ	2	26	12
156	beijing earthquake agcy	1	2	0
157	beijing envada software engn co ltd	1	28	11
158	beijing goldwind smart energy technol co ltd	1	29	6
159	beijing inst technol	7	206	9
160	beijing jiaotong univ	6	46	10
161	beijing jingdian power grid maintenance grp co lt	1	2	0
162	beijing key lab computat intelligence & intellige	1	47	0
163	beijing key lab mobile comp & pervas device	1	5	0
164	beijing lab urban mass transit	1	47	0
165	beijing normal univ	2	8	24
166	beijing polytech	1	19	8
167	beijing qu creat technol co ltd	1	0	17
168	beijing sifang automat co ltd	1	1	0
169	beijing smart chip microelect technol co ltd	1	6	10
170	beijing smartchip microelect technol co ltd	3	48	1
171	beijing univ civil engn & architecture	1	0	0
172	beijing univ posts & telecommun	7	38	10
173	beijing univ sci & technol	1	17	4
174	beijing univ technol	3	97	20
175	beirut arab univ bau	1	2	11
176	bell labs	1	66	3
177	ben gurion univ negev	4	59	63
178	benazir bhutto shaheed univ lyari	1	41	44
179	benefield anecho facil baf	1	0	0
180	benemerita univ autonoma puebla	1	9	0
181	benha univ	13	154	534
182	bentley syst inc	1	21	0
183	bentley syst singapore pte ltd	1	21	0
184	berlin univ	1	1	0
185	bern univ appl sci	1	2	0
186	bharat inst engn & technol	1	1	22
187	bharati vidyapeeth coll engn	1	0	2
188	biba bremer inst prod & logist	1	32	1
189	bic izot	1	4	18
190	bingol univ	3	13	83
191	birla inst technol	2	19	0
192	birmingham city univ	1	0	0
193	biruni univ	1	0	0
194	bit	1	36	0
195	blekinge inst technol	1	31	84
196	blekinge tekn hgsk	1	1	4
197	bluwave ai	1	0	0
198	bogazici univ	1	33	13
199	boise state univ	1	2	1
200	bosch engn ctr	1	5	19
201	bowling green state univ	1	1	0
202	bradley dept elect engn	1	11	5
203	brandenburg univ technol cottbus senftenberg	1	7	0
204	brandon univ	5	56	126
205	bri capital inc	1	2	0
206	brigham young univ	4	24	0
207	british columbia inst technol bcit	1	2	0
208	british telecommun plc	1	0	0
209	british univ egypt	1	47	26
210	brno univ technol	2	0	18
211	brock univ	1	1	7
212	brookhaven natl lab	2	13	1
213	brunel univ london	3	34	0
214	bs abdur rahman crescent inst sci & technol	1	144	0
215	btu cottbus senftenberg	2	2	5
216	bucharest univ econ studies	2	1	5
217	budapest univ technol & econ	1	4	6
218	bur meteorol	1	2	0
219	bvc inst technol & sci	1	0	0
220	c mast ctr mech & aerosp sci & technol	1	1	0
221	c1	1	0	0
222	caes	1	2	36
223	cairo univ	1	0	4
224	canadian univ dubai	1	1	9
225	cangzhou jiaotong coll	1	3	5
226	capabil associates	1	21	0
227	cape coast tech univ	1	3	14
228	capital univ sci & technol	1	11	23
229	capital univ sci & technol cust	1	15	5
230	cardiff univ	6	126	49
231	carl von ossietzky univ oldenburg	2	4	0
232	carleton univ	4	47	28
233	carlos iii univ madrid	1	10	16
234	carnegie mellon univ	1	2	3
235	carthage univ	1	70	42
236	cas ibri univ technol & appl sci	1	6	3
237	case western reserve univ	2	6	1
238	cass cty elect cooperat	1	0	0
239	catalonia inst energy res irec	1	0	0
240	ce djerdap hydroelect power plants ltd	1	56	37
241	cecos univ	1	0	0
242	cefet mg	1	9	3
243	ceit basque res & technol alliance brta	1	6	0
244	cell press	1	6	11
245	cent met res & dev inst cmrdi	1	8	3
246	cent queensland univ	2	28	31
247	cent sichuan dist petrochina southwest oil & gas f	1	5	0
248	cent south univ	3	42	9
249	cent univ jammu	1	0	8
250	centrum catolica grad business sch	1	7	2
251	cepel	1	0	0
252	cetc big data res inst co ltd	2	28	0
253	chaitanya bharathi inst technol	1	25	32
254	chalmers univ technol	3	134	9
255	chandigarh coll engn	1	0	7
256	chandigarh univ	4	254	37
257	changan univ	2	48	12
258	changsha univ	1	8	3
259	changsha univ sci & technol	2	0	0
260	changwon natl univ	2	8	0
261	changzhou inst technol	1	12	0
262	charles darwin univ	3	59	52
263	chaudhary charan singh univ	1	0	0
264	chengdu univ	1	4	3
265	chengdu univ informat technol	1	3	0
266	chengdu univ technol	1	5	6
267	china agr univ	1	150	101
268	china earthquake networks ctr	1	1	0
269	china elect corp	1	0	5
270	china elect power res inst	11	111	48
271	china elect power res inst co ltd	2	3	0
272	china med univ	5	56	126
273	china mobile res inst	1	2	0
274	china power engn consulting grp	1	38	2
275	china southern power gird	1	0	0
276	china southern power grid	1	0	7
277	china southern power grid co ltd	3	151	34
278	china southern power grid ehv transmiss co mainte	1	0	0
279	china three gorges univ	2	95	6
280	china univ geosci	3	125	8
281	china univ min & technol	1	28	8
282	china univ petr east china	2	23	14
283	chinese acad sci	10	153	72
284	chinese univ hong kong	5	121	87
285	chinese univ hong kong shenzhen	2	49	12
286	chitkara univ	4	28	104
287	chongqing three gorges univ	1	1	2
288	chongqing triloop prospecting technol co ltd	1	3	0
289	chongqing univ	13	60	37
290	chongqing univ china	1	5	0
291	chongqing univ post & telecommun	1	7	6
292	chongqing univ posts & telecommun	4	16	4
293	chongqing univ technol	1	0	0
294	chonnam natl uniers	1	5	0
295	chonnam natl univ	1	1	0
296	chosun univ	1	5	0
297	chouaib doukkali univ	2	65	7
298	christ deemed univ	1	34	0
299	chubu univ	2	4	6
300	chulalongkorn univ	1	14	3
301	chung ang univ	2	31	2
302	chung hua univ	1	13	3
303	chung yuan christian univ	1	1	5
304	chungbuk natl univ	2	63	107
305	chungnam natl univ	1	0	10
306	ciemat res ctr energy environm & technol	1	31	3
307	cinvestav	2	6	0
308	cinvestav guadalajara	2	36	6
309	circe technol ctr parque empresarial dinamiza	1	0	0
310	cisco syst inc	2	40	0
311	cistel technol	1	65	24
312	cistel technol inc	1	1	3
313	citigroup	1	4	0
314	city surrey	1	19	8
315	city univ hong kong	9	268	131
316	clarkson univ	3	49	11
317	clemson univ	5	4	0
318	cleverpal pty ltd	1	1	0
319	cluj it cluster	1	4	0
320	cmc inst sci & technol	1	0	3
321	cmr coll engn & technol	1	1	22
322	cnr	1	19	4
323	co xian microelect technol inst	1	3	0
324	coal city univ enugu	1	39	0
325	coer univ	1	0	3
326	coimbatore inst technol	1	1	0
327	coll charleston	1	1	80
328	coll engn	1	1	1
329	coll engn & management	1	1	0
330	coll engn pune	1	1	0
331	collaborat innovat ctr geospatial technol	1	0	0
332	colombian def minist csirt	1	18	25
333	colorado sch mines	1	4	4
334	colorado state univ	3	85	6
335	columbia univ	3	246	28
336	columbus state univ	1	0	2
337	comed	1	2	1
338	comenius univ	2	1	17
339	comillas pontifical univ	1	13	1
340	commun space & technol commiss	1	19	93
341	comp technol applicat key lab yunnan prov	1	6	0
342	companhia energet minas gerais cemig	1	2	0
343	comsats inst informat technol	1	266	20
344	comsats univ islamabad	24	299	315
345	comsats univ islamabad cui	2	1	35
346	comsensus	1	19	7
347	concert technol	1	4	0
348	concord new energy grp ltd	1	31	6
349	concordia univ	9	74	49
350	consolidated edison co new york inc	1	155	18
351	control & algorithm grp	1	1	0
352	coordinat ctr china	1	6	0
353	copperbelt univ	1	4	11
354	council sci & ind res csir	2	23	29
355	covenant univ	2	1	3
356	coventry univ	1	10	17
357	cpfl energia	1	3	0
358	cpi northeast elect power co ltd	1	3	0
359	cps	1	0	17
360	cra 1 este 19a-40 piso 7	1	0	0
361	cracow univ technol	2	17	0
362	cranfield univ	2	12	11
363	cse ntu	1	3	4
364	csg	1	0	0
365	csg ehv power transmiss co	1	0	0
366	csic chongqing haizhuang windpower equipment co l	1	17	0
367	csir	4	183	107
368	csiro	1	83	6
369	csiros data61	2	15	2
370	cssc haizhuang windpower co ltd	1	0	6
371	ctl eurocoll	1	4	23
372	ctr adv energy studies caes	8	48	378
373	ctr adv reliabil & safety	1	12	28
374	ctr int metodes numer engn	1	0	0
375	ctr res & technol hellas	1	4	2
376	ctr technol & syst uninova cts	1	3	2
377	ctr wiskunde & informat	1	211	0
378	cub sustainable investments	1	8	29
379	cubo 17b univ calabria	1	6	0
380	cubo 31c univ calabria	1	6	0
381	cukurova univ	1	0	0
382	cumhuriyet univ	1	3	0
383	cuny	1	3	0
384	curtin univ	1	110	13
385	cyberlabs prod & serv tecnol sa	1	0	0
386	cyprus energy regulatory author	1	6	0
387	cyprus univ technol	6	96	74
388	czech tech univ	1	0	0
389	czech univ life sci prague	2	59	59
390	daimler ag	1	6	0
391	dakota state univ	1	28	0
392	dalarna univ	1	12	4
393	dalhousie univ	2	66	24
394	dalian univ technol	2	12	13
395	dambi dollo univ	2	15	14
396	damghan univ	1	3	0
397	dar al hekma univ	1	0	56
398	data61 csiro	1	15	0
399	dbappsecurity	1	5	2
400	de la salle univ	1	1	17
401	de montfort univ	5	331	27
402	deakin univ	17	726	235
403	debre berhan univ	1	3	4
404	deemed univ	1	8	0
405	deetc	1	0	1
406	def inst adv technol	1	6	0
407	deggendorf inst technol	3	51	23
408	delft univ technol	6	157	41
409	delhi coll engn	1	0	0
410	delhi ncr	1	0	0
411	delta higher inst engn technol	1	0	5
412	delta univ sci & technol	1	0	5
413	democritus univ thrace	4	44	4
414	denizli water & sewage adm gen directorate	1	17	0
415	dept comp sci & media technol	1	59	0
416	dept elect engn	1	0	3
417	dept elect engn esat	1	21	0
418	dha suffa univ	1	15	0
419	dhofar univ	1	14	0
420	dispatching control ctr	1	0	0
421	distribut code review panel	1	0	0
422	distributie energie electrica romania mures branch	1	1	0
423	dn vgl	1	40	0
424	dokuz eylul technol dev zone depark	1	0	8
425	dokuz eylul univ	1	0	8
426	dong a univ	1	13	6
427	dongbei univ finance & econ	1	85	16
428	dongguan univ technol	2	91	10
429	doscon as	1	1	0
430	dr mahalingam coll engn & technol	1	0	6
431	dr mgr educ & res inst	2	7	5
432	dr n g p inst technol	1	0	7
433	dr sivanthi aditanar coll engn	1	34	0
434	dr vishwanath karad world peace univ	1	1	0
435	drivendata inc	1	2	0
436	dubai elect & water author dewa	1	2	1
437	dubai elect secur ctr desc	1	6	0
438	duy tan univ	3	75	52
439	dvi commun	1	28	0
440	dvr & dhs mic engn coll	1	0	0
441	dwa energy ltd	2	17	27
442	e austria res inst	1	8	0
443	e distribuc redes digitales	2	0	0
444	e redes	1	4	2
445	earlham coll	1	4	0
446	earthquake adm anhui prov	1	1	0
447	east china branch state grid corp	1	0	17
448	east china jiaotong univ	1	17	0
449	east china normal univ	1	8	6
450	east china univ technol	1	0	0
451	east west univ	1	22	0
452	eastern liaoning univ	1	3	0
453	ecam epmi	1	6	0
454	ecco int inc	1	1	3
455	ecole polytech	1	1	0
456	ecole technol super	1	10	10
457	edf lab clamart	1	0	0
458	edge hill univ	1	8	3
459	edinburgh napier univ	5	70	33
460	edith cowan univ	3	53	28
461	eee ntu	1	3	4
462	efacec	1	0	0
463	effat univ	2	7	2
464	ege univ	1	0	0
465	egs pillay engn coll	2	12	6
466	egypt japan univ sci & technol e just	1	12	11
467	egyptian russian univ	1	18	7
468	ehtp hassania sch publ works	1	5	0
469	eight bells ltd	2	40	38
470	eindhoven univ technol	3	50	27
471	ekare inc	1	13	0
472	el manar univ	1	70	42
473	elect & telecommun res inst	1	2	0
474	elect distribut design	1	8	0
475	elect power engineers inc	1	0	0
476	elect power res inst guangxi power grid co ltd	1	0	0
477	elect reliabil council texas	1	20	21
478	elect res inst	1	0	0
479	elucidata lab sirris	1	14	12
480	embry riddle aeronaut univ	1	5	2
481	emig high sch	1	1	0
482	enea	2	36	4
483	energy queensland	1	0	1
484	engie italia	1	14	12
485	engie servizi spa	1	1	4
486	engn technol res ctr ind automat	1	4	0
487	ensea	1	0	25
488	ensias mohammed v souissi univ	1	49	0
489	ensias sch	1	0	0
490	epcor water serv inc	1	4	0
491	epfl innovat pk	1	0	0
492	epri	2	3	0
493	equinor asa	1	0	0
494	erciyes univ	1	19	4
495	ericsson	1	7	8
496	ernst & young	1	6	0
497	escuela super politecn litoral	1	40	23
498	escuela super politecn litoral espol	1	3	23
499	eskisehir tech univ	1	22	18
500	espol	1	3	3
501	est usmba	1	0	0
502	estonian univ life sci	1	30	0
503	ethiopian artificial intelligence inst	1	5	0
504	european commis	1	2	0
505	european commiss	1	0	0
506	european dynam	1	31	20
507	eurus energy holdings corp	1	0	0
508	eurus tech serv corp	2	1	0
509	eversource energy	1	0	7
510	ewe offshore serv & solut gmbh	1	0	0
511	fac elect engn nis	1	1	0
512	fac engn	1	0	7
513	fac sci tunis el manar	1	37	23
514	fac tech sci	1	1	0
515	fast natl univ comp & emerging sci	1	16	34
516	fdn bruno kessler	1	3	2
517	fdn univ int colombia	1	2	0
518	fdn univ islamabad	1	7	8
519	fed ctr technol educ minas gerais	1	9	3
520	fed inst educ sci & technol pernambuco	1	3	1
521	fed inst educ sci & technol sao paulo	1	5	12
522	fed inst educ sci technol sao paulo	1	207	23
523	fed univ dutse	1	2	0
524	fed univ para	1	12	0
525	fed univ para ufpa	1	14	0
526	fed univ parana ufpr	1	24	12
527	fed univ rio grande norte ufrn	1	1	1
528	fed univ santa catarina ufsc	2	23	5
529	fed univ technol	2	45	0
530	fed univ technol owerri	2	1	13
531	fed univ w para	1	12	0
532	federat univ	1	3	22
533	fei tu kosice	1	22	0
534	feng chia univ	1	13	19
535	finnish geospatial res inst	1	0	0
536	firat univ	3	53	68
537	first tech univ	1	0	9
538	firstco ltd	1	5	0
539	fitchburg state univ	1	11	34
540	flanders make	2	0	1
541	flinders univ s australia	2	25	0
542	florida atlantic univ	3	4	6
543	florida int univ	16	321	48
544	florida polytech univ	2	28	8
545	florida state univ	3	103	65
546	fontys univ appl sci	1	1	6
547	fordham univ	1	34	0
548	forschungszentrum julich	1	2	2
549	fortinet technol canada ulc	1	23	0
550	fortinet technol inc	2	62	24
551	fortune inst technol	1	0	0
552	foshan power supply bur guangdong power grid co l	1	0	0
553	fpt univ	1	0	3
554	fr conceicao rodrigues inst technol	1	0	2
555	fraunhofer fit	1	0	12
556	fraunhofer fkie	1	0	0
557	fraunhofer inst appl & integrated secur aisec	1	6	0
558	fraunhofer inst energy econ & energy syst technol	2	13	7
559	fraunhofer inst optron syst technol & image explo	1	3	3
560	fraunhofer iosb adv syst technol	1	0	6
561	friedrich alexander univ erlangen nurnberg	1	14	2
562	fstf	1	0	0
563	fudan univ	5	138	21
564	fujian normal univ	1	161	16
565	furnas centrais eletr sa	1	0	0
566	future acad	1	2	0
567	future univ egypt	4	28	21
568	fuzhou univ	2	69	0
569	g h raisoni coll engn	1	25	32
570	gachon univ	7	47	124
571	gandhi inst technol & management gitam deemed univ	1	8	13
572	gautam buddha univ	1	4	0
573	gazi univ	10	83	121
574	ge global res	1	74	12
575	ge multilin	1	0	0
576	gecad res grp intelligent engn & comp adv innovat	1	2	12
577	geely univ china	1	0	0
578	geiri north amer	4	283	43
579	geirina	1	24	9
580	gen directorate	1	0	8
581	gen elect	1	0	5
582	gen elect res ctr	1	55	33
583	gen motors	1	22	11
584	gen secretariat digital policy	1	187	22
585	genad syst	1	0	0
586	george emil palade univ med pharm sci & technol ta	1	1	0
587	george mason univ	5	120	273
588	george washington univ	5	43	5
589	georgia inst technol	6	144	56
590	georgia so univ	1	151	22
591	geredis deux sevres	1	1	0
592	german aerosp ctr	1	1	6
593	german jordanian univ	2	82	9
594	german res ctr ai	1	0	0
595	german res ctr artificial intelligence	1	7	0
596	gh raisoni coll engn	2	1	0
597	gik inst engn sci & technol	1	14	27
598	gla univ	1	0	0
599	global energy interconnect res inst north amer	1	15	1
600	global univ syst	2	10	7
601	gomal univ	1	29	80
602	gonbad kavous univ	1	5	0
603	google inc	1	155	18
604	govt coll engn	1	1	0
605	govt coll technol	1	0	11
606	govt coll univ	1	10	0
607	govt engn coll	1	15	0
608	govt khyber pakhtunkhwa	1	0	0
609	govt polytech	1	7	6
610	govt xinan town	1	6	0
611	govtech singapore	1	11	5
612	graph era deemed be univ	2	8	14
613	graph era deemed univ	3	69	6
614	graph era hill univ	3	2	13
615	graz univ technol	2	10	3
616	graz univ technol graz	1	1	1
617	greater western water	1	0	0
618	green energy pk um6p	1	5	0
619	green univ bangladesh	1	47	10
620	greenbyte ab	1	24	18
621	gridsentry private ltd	1	1	8
622	griffith univ	5	119	103
623	griffith univ brisbane	1	0	1
624	guangdong acad agr sci	1	6	0
625	guangdong nanhai power design & engn co ltd	3	1	70
626	guangdong power grid	3	1	0
627	guangdong power grid co	1	0	0
628	guangdong power grid co ltd	4	1	0
629	guangdong rizhao elect co ltd	1	0	0
630	guangdong univ petrochem technol	1	0	13
631	guangdong univ technol	1	3	1
632	guangxi power grid co ltd	2	3	4
633	guangxi univ	5	45	6
634	guangzhou maritime univ	1	0	11
635	guangzhou univ	4	130	24
636	guelma univ	3	273	65
637	guilin univ aerosp technol	3	28	31
638	guilin univ elect technol	1	6	0
639	guizhou power grid co	1	19	0
640	guizhou power grid co ltd	2	25	0
641	guizhou univ	4	17	66
642	guochuang software co ltd	1	1	0
643	guru jambheshwar univ sci & technol	1	0	9
644	gwangju inst sci & technol gist	2	2	10
645	gyanc res lab	1	47	10
646	hacettepe univ	1	0	13
647	hainan power grid co ltd	1	1	0
648	halic univ	1	4	12
649	hamad bin khalifa univ	6	184	273
650	hamad bin khlifa univ	1	6	34
651	hamburg univ technol	1	0	0
652	hamdard inst engn & technol	1	10	0
653	hamdard univ	1	7	8
654	hame univ appl sci	1	2	0
655	hanbat natl univ	2	1	1
656	hangzhou normal univ	1	0	0
657	hangzhou power supply co	1	0	0
658	hannam univ	1	4	1
659	hanoi univ sci & technol	3	13	9
660	hanyang univ	3	268	42
661	harbin engn univ	5	118	22
662	harbin inst technol	8	147	53
663	hashemite univ	1	1	0
664	hassan first univ settat uh1	1	27	5
665	hassan first univ settat uhi	1	1	2
666	hassan ii univ	1	2	0
667	hassania sch publ works	1	0	13
668	hassania sch publ works ehtp	1	0	15
669	hazara univ	2	1	5
670	hebei chuangke elect technol co ltd	1	2	0
671	hebei key lab elect machinery hlth maintenance & f	1	10	7
672	hebei normal univ nationalities	1	1	10
673	hedno	1	36	1
674	hefei comprehens natl sci ctr	1	1	0
675	hefei univ technol	8	191	20
676	hehai univ	1	1	0
677	heilongjiang univ	1	0	27
678	heilongjiang univ technol	2	0	14
679	hellen mediterranean univ	1	4	18
680	hellen mediterranean univ crete	1	1	0
681	hellen telecommun org sa	1	4	0
682	hellenic mediterranean univ	1	1	0
683	helmut schmidt univ fed armed forces	1	6	0
684	helwan univ	1	3	0
685	henan inst technol	1	3	8
686	henan univ	1	73	13
687	henan univ sci & technol	4	1	77
688	heriot watt univ	1	278	28
689	high field magnet resonance brain imaging lab sic	1	22	1
690	high voltage technol ctr hivotec nigeria	1	0	0
691	higher inst engn & technol king marriott	1	20	4
692	higher sch elect engn & energet	1	0	1
693	highline coll	1	28	0
694	hindusthan coll engn & technol	1	16	1
695	hit	1	0	0
696	ho chi minh city univ technol	1	15	0
697	hohai univ	5	84	2
698	holy cross energy	1	3	7
699	hong kong polytech univ	6	98	88
700	hongik univ	2	6	10
701	hosei univ	1	49	34
702	hpps derdap	1	0	0
703	htwg konstanz	1	0	0
704	huabei oilfield cbm branch co	1	0	0
705	huabei oilfield co	1	0	0
706	huadian elect power res inst co ltd	1	3	9
707	huazhong univ sci & technol	9	167	76
708	hubei key lab adv control & intelligent automat co	1	0	0
709	hubei univ technol	3	9	3
710	huizhou univ	1	0	0
711	hun ren bme cloud applicat res grp	1	4	6
712	hunan univ	6	250	171
713	hunan univ sci & technol	1	20	3
714	hut grp	1	19	8
715	huzhou inst ind control technol	1	4	45
716	huzhou univ	1	0	2
717	hydro qubec res inst ireq	1	0	0
718	hydro quebec res inst	1	9	9
719	hydroquebec ireq	1	110	13
720	hydroquebec res inst	1	1	4
721	hydroquebec res inst ireq	2	33	34
722	hydroquebecs res inst	1	1	2
723	ibex cx	1	15	0
724	ibm res	2	0	1
725	ibn tofail univ	1	4	0
726	idaho natl lab	2	41	16
727	idaho state univ	13	119	519
728	ie2spomtf	1	0	0
729	ifp energies nouvelles	1	2	0
730	igs ntu	1	3	4
731	igw operators forum	1	70	24
732	ihp leibniz inst innovat mikroelekt	3	2	5
733	iiasa	1	317	24
734	iiit	1	11	1
735	iit	2	123	66
736	ilmenau univ technol	1	0	0
737	imam abdulrahman bin faisal univ	3	37	26
738	imam al kadhum coll ikc	1	0	0
739	imam jaafar al sadiq univ	1	13	0
740	imam mohammad ibn saud islamic univ	1	2	0
741	imam mohammad ibn saud islamic univ imsiu	1	0	0
742	impact technol	1	22	11
743	imperial coll london	4	67	6
744	imperial off	2	37	76
745	incheon natl univ	1	8	0
746	ind syst inst rc athena	2	29	25
747	indian inst engn sci & technol	1	1	0
748	indian inst informat technol	1	2	0
749	indian inst informat technol lucknow iiitl	1	6	3
750	indian inst management	1	3	2
751	indian inst sci	4	78	7
752	indian inst technol	6	94	31
753	indian inst technol bhu	2	45	44
754	indian inst technol bhubaneswar	1	34	4
755	indian inst technol delhi	4	75	64
756	indian inst technol gandhinagar	1	87	10
757	indian inst technol hyderabad	1	2	0
758	indian inst technol kanpur	3	29	18
759	indian inst technol kharagpur	2	0	20
760	indian inst technol madras	1	17	26
761	indiana univ	1	26	0
762	indraprastha inst informat technol new delhi	1	0	0
763	inesc coimbra	1	2	0
764	inesc tec	1	0	0
765	inesc technol & sci inesc tec	2	6	2
766	informat commun branch hainan power grid co ltd	1	1	0
767	informat dd	1	7	0
768	informat technol inst	1	31	20
769	inland norway univ appl sci	1	3	14
770	inner mongolia med univ	1	0	0
771	inner mongolia univ sci & technol	1	0	0
772	innovat hub publ power corp sa	1	4	18
773	inonu univ	1	17	0
774	inst disaster prevent	1	1	0
775	inst etri	1	1	0
776	inst fed maranhao	1	0	0
777	inst fed sao paulo	1	0	0
778	inst high performance comp	1	12	2
779	inst infocomm res	1	161	16
780	inst infrastruct technol res & management	1	110	13
781	inst int stockage hydrogene	1	47	26
782	inst nachhaltige energieversorgung gmbh inev	1	14	2
783	inst natl polytech grenoble	1	4	0
784	inst pesquisas eldorado	1	0	0
785	inst politecn lisboa	1	3	1
786	inst politecn nacl	2	52	34
787	inst rech hydroquebec	2	19	28
788	inst res fundamental sci ipm	1	14	3
789	inst southern punjab	1	19	13
790	inst tecnol & estudios super occidente	1	31	3
791	inst teknol bandung	1	4	0
792	int hellen univ	3	130	86
793	int hellenic univ	2	4	4
794	int inst informat technol	2	69	0
795	int inst technol & management	2	33	87
796	int islamic univ	1	47	10
797	int islamic univ chittagong	1	28	1
798	int islamic univ islamabad	1	1	6
799	int islamic univ malaysia	5	41	41
800	int sci complex astana	1	1	2
801	int univ rabat	1	7	2
802	intel corp	2	6	47
803	intelligent terminal key lab sichuan prov	1	1	1
